name,type,city,country,website,email,phone,instagram,reason,status,scraped_email
L'Antre du Dragon,board game store,Lyon,France,https://www.lantredudragon.fr/,,+33 4 72 07 00 90,@lantredudragon,An established local game shop with a strong focus on tabletop and card games and a loyal customer base interested in new titles.,,contact@lantredudragon.fr
Le Passe Temps,board game store,Toulouse,France,https://www.lepassetemps.net,contact@lepassetemps.net,+33 5 61 21 01 01,@lepassetemps,One of the most influential board game specialty shops in France with a massive community and a focus on modern card games.,,
C'est le Jeu,board game store,Toulouse,France,https://www.cestlejeu.fr,contact@cestlejeu.fr,+33 5 61 23 23 55,@cestlejeu,A dedicated board game boutique in the city center that prioritizes independent publishers and high-quality tabletop experiences.,,
Le Comptoir du Japon,Japan stores,Toulouse,France,https://www.comptoirdujapon.fr,contact@comptoirdujapon.fr,+33 5 61 62 43 18,@comptoirdujapon,"An authentic Japanese specialty shop that carries traditional and modern Japanese goods, making it a perfect fit for a sushi-themed game.",,
Trait,Concept design,Toulouse,France,https://www.trait.fr,contact@trait.fr,+33 5 61 25 71 84,@trait_toulouse,"A high-end design and lifestyle store that stocks aesthetic objects and beautifully designed games, matching Omakase's strong design qualities.",,trait.papier@gmail.com
Jeux du Monde,board game store,Toulouse,France,https://www.jeuxdumonde.com,,+33 5 61 23 35 51,@jeuxdumonde,"Specializes in games from different cultures and traditional wooden games, aligning well with the cultural theme of Omakase.",,
Blast,board game store,Toulouse,France,https://blast-toulouse.com,,+33 5 31 22 94 37,@blast_toulouse,"A modern hobby shop focusing on indie games and card games, catering to a younger, design-conscious demographic.",,
Manga No Kuni,Japan stores,Toulouse,France,http://www.manganokuni.com,,+33 5 61 63 82 13,,A long-standing manga and Japanese culture specialist that would likely stock Japan-themed card games for their enthusiast customer base.,,
JSST Jeux,board game store,Nice,France,https://www.jsstjeux.fr/,contact@jsstjeux.fr,+33 4 93 81 56 06,@jsstjeux,"A premier board game specialist in Nice with a strong community focus, ideal for card games with high replayability and social interaction.",,
La Bulle à Jeux,board game store,Nice,France,https://labulleajeux.fr/,contact@labulleajeux.fr,+33 4 93 82 91 06,@labulleajeux,"A dedicated tabletop gaming boutique that prioritizes modern card games and independent publishers, making it a perfect fit for Omakase.",,
Manga T Nice,Japan stores,Nice,France,https://www.manga-t.fr/,manga.t.nice@gmail.com,+33 9 83 54 44 40,@mangat_nice,A Japanese-themed concept store and tea room that perfectly matches the sushi aesthetic and cultural theme of the Omakase card game.,,
Le Monde en Jeux,board game store,Nice,France,https://lemondeenjeux.fr/,contact@lemondeenjeux.fr,+33 4 93 13 01 06,@lemondeenjeux,"Located in the Old Town, this shop specializes in board games and would appreciate the strong design qualities and compact format of Omakase.",,
Jouets Cyprien,toy store,Nice,France,https://www.jouets-cyprien.fr/,contact@jouets-cyprien.fr,+33 4 93 88 84 34,,"A high-end independent toy store that stocks quality games, fitting the 'strong design' and premium feel of the Omakase brand.",,
Badaboum,toy store,Nice,France,https://www.badaboum-jouets.fr/,badaboum.jouets@orange.fr,+33 4 93 85 34 56,@badaboumjouets,An independent toy and gift shop known for its curated selection of aesthetic and educational games for families and collectors.,,
Le Temple du Jeu,board game store,Nantes,France,https://www.letempledujeu.fr/,contact@letempledujeu.fr,+33 2 40 12 11 41,@letempledujeu,The primary board game specialist in Nantes with a massive inventory and a dedicated community of card game players.,,
Sortilèges Nantes,board game store,Nantes,France,https://www.sortileges.fr/,nantes@sortileges.fr,+33 2 40 47 75 20,@sortilegesnantes,"A well-established boutique specializing in tabletop games that values unique, high-quality card games.",,
Manga T Nantes,Japan stores,Nantes,France,https://manga-t.fr/,,+33 9 83 54 81 22,@mangatnantes,A Japanese-themed tea room and shop that is a perfect cultural fit for a sushi-themed card game.,,
Henry et Henriette,gift shop,Nantes,France,https://henryethenriette.com/,contact@henryethenriette.com,+33 2 53 45 02 69,@henryethenriette,A colorful concept and gift shop that prioritizes strong visual design and unique lifestyle products.,,contacthenryethenriette@gmail.com
La Ribouldingue,toy store,Nantes,France,https://www.laribouldingue.fr/,,+33 2 40 47 61 31,@laribouldingue_nantes,An independent toy store focusing on quality playthings and educational games with high production value.,,
L'Atelier du Petit Parc,Concept design,Nantes,France,https://www.latelierdupetitparc.fr/,,+33 2 40 48 25 92,@latelierdupetitparc,"A curated design shop that features aesthetic objects, making it a great fit for Omakase's strong design qualities.",,
Sous les Étoiles,gift shop,Nantes,France,https://www.souslesetoiles-nantes.com/,,+33 2 40 75 61 39,@souslesetoilesnantes,A boutique gift shop specializing in original and creative items that often stocks high-end card games.,,
Philibert,board game store,Strasbourg,France,https://www.philibertnet.com,,+33 3 88 32 65 35,@philibertnet,"As one of the most influential board game retailers in Europe and based in Strasbourg, they are the primary target for any new card game.",,
Le Pion Magique,board game store,Strasbourg,France,https://www.lepionmagique.com,,+33 3 88 32 45 41,,A long-standing independent game shop in the city center that specializes in tabletop and card games.,,
Little Tokyo,Japan stores,Strasbourg,France,https://www.littletokyo.fr,,+33 3 88 32 24 35,@littletokyostrasbourg,Specializes in Japanese culture and products; a sushi-themed game with strong design would fit their aesthetic perfectly.,,contact@gameklub.fr
Le Temple du Jeu,board game store,Strasbourg,France,https://www.letempledujeu.fr,,+33 3 88 32 10 10,,A dedicated gaming shop that carries a wide variety of card games and niche titles.,,
L'Oiseau Bleu,toy store,Strasbourg,France,https://www.loiseaubleustrasbourg.com,,+33 3 88 32 23 25,@loiseaubleustrasbourg,A high-end independent toy store that stocks quality games and would appreciate the design aspect of Omakase.,,
Curieux?,Concept design,Strasbourg,France,https://www.curieux-store.com,,+33 3 67 10 16 19,@curieux_strasbourg,A concept store focusing on design and lifestyle products where a visually striking card game would fit well.,,
Excalibur Montpellier,board game store,Montpellier,France,https://www.excalibur-comics.fr,contact@excalibur-comics.fr,+33 4 67 60 81 37,@excalibur_montpellier,"The city's leading board game specialist with a massive inventory and a dedicated community, perfect for a high-quality card game.",,contact@excalibur-comics.fr
Japan Market,Japan stores,Bordeaux,France,https://www.japanmarket.fr/,contact@japanmarket.fr,+33 5 56 44 19 62,@japanmarket_bdx,A specialty Japanese grocery and gift shop where a sushi-themed card game would be a natural cross-sell item.,,serviceclient@japanmarket.fr
Jeux Barjo,board game store,Bordeaux,France,https://www.jeuxbarjo.com/,,+33 5 56 51 00 21,@jeuxbarjo,"A popular board game cafe and shop that specializes in social, easy-to-learn card games that fit the Omakase profile.",,93jeuxbarjoboutique@gmail.comle
J-Store Berlin,Japan stores,Berlin,Germany,https://www.j-store-berlin.de/,info@j-store-berlin.de,+49 30 31016447,@jstoreberlin,"Specializes in Japanese pop culture, manga, and lifestyle products; a sushi-themed game is a perfect thematic fit for their audience.",,info.annex@j-store-berlin.detel
RSVP Berlin,Concept design,Berlin,Germany,https://rsvp-berlin.de/,info@rsvp-berlin.de,+49 30 28094644,@rsvp_berlin,"A high-end stationery and design boutique that values aesthetic quality, making it ideal for a game with strong design elements.",,info@rsvp-berlin.de
Spielbrett Berlin,board game store,Berlin,Germany,https://spielbrett-berlin.de/,info@spielbrett-berlin.de,+49 30 6923639,@spielbrett_berlin,One of Berlin's oldest independent game stores with multiple locations and a strong focus on family-friendly card games.,,mail@spielbrett-berlin.detel
Neo Tokyo,Japan stores,Berlin,Germany,https://www.neotokyo.de/,info@neotokyo.de,+49 30 44046111,@neotokyostores,"A major hub for Japanese media and merchandise in Berlin, attracting customers interested in Japanese culinary and pop culture.",,neotokyo@neotokyo.de
Gamer's HQ,board game store,Berlin,Germany,https://gamers-hq.de/,info@gamers-hq.de,+49 30 79706346,@gamershq_berlin,A dedicated hobby shop with a deep inventory of tabletop games and a loyal community of card game enthusiasts.,,laden@gamers-hq.de
Luiban,Concept design,Berlin,Germany,https://www.luiban.com/,info@luiban.com,+49 30 40041450,@luiban_papeterie,"Focuses on high-quality paper goods and minimalist design objects, aligning with the premium design qualities of Omakase.",,info@luiban.com
Werken Spielen Schenken,toy store,Berlin,Germany,https://www.werken-spielen-schenken.de/,,+49 30 7900970,@werkenspielenschenken,A massive independent toy and hobby retailer in Steglitz with a significant department dedicated to board and card games.,,spielwaren@werken-spielen-schenken.de
Grober Unfug,gift shop,Berlin,Germany,https://www.groberunfug.de/,info@groberunfug.de,+49 30 2813013,@groberunfug,"A cult comic and gift shop that stocks unique, visually-driven games and collectibles that appeal to a design-conscious crowd.",,info@groberunfug.de
Atlantis Hamburg,board game store,Hamburg,Germany,https://www.atlantis-hamburg.de,info@atlantis-hamburg.de,+49 40 60085151,@atlantis_hamburg,"As one of Hamburg's premier specialty board game stores, they carry a wide range of indie titles and have a dedicated community for card games.",,info@atlantis-hamburg.de
Human Empire Shop,Concept design,Hamburg,Germany,https://humanempireshop.com,shop@humanempire.com,+49 40 18011255,@humanempireshop,"A design-focused concept store that stocks unique stationery, prints, and high-end gift items, aligning with Omakase's strong visual identity.",,11post@humanempireshop.commo
Kaufhaus Hamburg,gift shop,Hamburg,Germany,https://kaufhaus-hamburg.de,info@kaufhaus-hamburg.de,+49 40 30031900,@kaufhaus_hamburg,"Focuses on high-quality, regional, and unique gift products; Omakase fits their 'special finds' criteria for local shoppers.",,shop@kaufhaus-hamburg.de
Kunst und Spiel,toy store,Munich,Germany,https://www.kunstundspiel.de,info@kunstundspiel.de,+49 89 381660,@kunstundspiel,"A high-end toy store emphasizing aesthetic and educational value, perfect for a well-designed card game.",,info@kunstundspiel.de
Servus Heimat,gift shop,Munich,Germany,https://www.servusheimat.com,info@servusheimat.com,+49 89 24294780,@servusheimat,"A popular gift shop specializing in high-quality, curated items that appeal to both locals and tourists.",,info@servusheimat.com
Hiveworld,board game store,Cologne,Germany,https://www.hiveworld.de,info@hiveworld.de,+49 221 9231412,@hiveworld.de,A leading board game specialist in Cologne with a high volume of card game enthusiasts and a central location.,,info@hiveworld.com
Brave New World,board game store,Cologne,Germany,https://www.bravenewworld.biz,info@bravenewworld.biz,+49 221 2578500,@bravenewworld_koeln,"Focuses on hobbyist and indie games, making it a great fit for a niche card game with unique mechanics.",,braveneworldkoeln@gmail.com
Spielbrett Köln,board game store,Cologne,Germany,https://spielbrett-koeln.de,info@spielbrett-koeln.de,+49 221 424242,,A traditional shop with a curated selection of family-friendly and aesthetically pleasing games.,,spielbrett@t-online.de
Siebter Himmel,Concept design,Cologne,Germany,https://www.siebterhimmel.de,info@siebterhimmel.de,+49 221 2726020,@siebterhimmel,A design-centric concept store where Omakase's visual appeal would stand out to gift shoppers and design lovers.,,50607777info@siebterhimmel.deleipzig
Ortloff,gift shop,Cologne,Germany,https://www.ortloff.de,info@ortloff.de,+49 221 20550,@ortloff_koeln,"A premium retailer for stationery and gifts that attracts customers looking for high-quality, giftable games and puzzles.",,shop@ortloff.de
Buchhandlung Walther König,book shop,Frankfurt,Germany,https://www.buchhandlung-walther-koenig.de/,,,,"Located in major art museums, this shop focuses on art and design, providing a sophisticated retail environment for a well-designed card game.",,order@buchhandlung-walther-koenig.de
Fantasy Stronghold,board game store,Stuttgart,Germany,https://www.fantasystronghold.de/,info@fantasystronghold.de,+49 711 6070701,@fantasystronghold,A premier destination for board games and tabletop hobbies in Stuttgart with a dedicated community of card game players.,,info@fantasystronghold.de
Mage Store,board game store,Düsseldorf,Germany,https://www.magestore.de,info@magestore.de,+49 211 9944085,@magestore_duesseldorf,Düsseldorf's premier destination for board and card games with a highly active community and dedicated retail space.,,info@magestore.de
Drachental,board game store,Düsseldorf,Germany,https://www.drachental.com,info@drachental.com,+49 211 5803795,@drachental_duesseldorf,"A specialized hobby and game shop that focuses on tabletop and card games, making it a perfect fit for niche card game titles.",,info@drachental.comumsatzsteuer
Takagi Books & More,Japan stores,Düsseldorf,Germany,https://www.takagi-books.de,info@takagi-books.de,+49 211 352151,@takagibooks,"A major cultural hub in Little Tokyo that sells Japanese books, manga, and gifts, attracting customers interested in Japanese aesthetics.",,kontakt@takagi-books.de
Selekteur,Concept design,Düsseldorf,Germany,https://selekteur.com,info@selekteur.com,+49 211 86042363,@selekteur,"A high-end concept store focusing on 'things that last,' valuing strong design and quality, which aligns with Omakase's design-led approach.",,mail@selekteur.com
Lütgenau,toy store,Düsseldorf,Germany,https://www.luetgenau.de,info@luetgenau.de,+49 211 325941,,"A traditional, large independent toy store in the city center with a significant department for board games and puzzles.",,hello@fruits.co
Tellurian Games,board game store,Dortmund,Germany,https://www.tellurian.de,info@tellurian.de,+49 231 524410,,"Specializes in tabletop, card games, and fantasy hobbies, making it an ideal location for niche card games like Omakase.",,games@tellurian.de
Loot Shop,board game store,Essen,Germany,https://loot-shop.de/,info@loot-shop.de,+49 201 89091460,@lootshop_essen,"Focuses on geek culture, TCGs, and board games, providing a high-traffic environment for modern card games.",,koblenzinfo@loot-shop.de
Manga-Mafia Leipzig,Japan stores,Leipzig,Germany,https://manga-mafia.de/,,+49 341 24804344,@mangamafiastore,"A specialty shop for Japanese pop culture and merchandise, providing a perfect thematic audience for a sushi-based game.",,shopnospamplease@nospampleasemanga-mafia.de
Hafenbasar,gift shop,Leipzig,Germany,https://www.hafenbasar.de/,,+49 341 2253818,@hafenbasar,"A unique gift and curiosity shop that values high-quality design and quirky, portable products.",,kontakt@hafenbasar.de
Loot Shop,board game store,Bremen,Germany,https://loot-shop.de/,info@loot-shop.de,+49 421 69646464,@loot_shop_bremen,"Focuses on gaming culture, merchandise, and tabletop games, attracting a younger, trend-conscious demographic interested in unique card games.",,koblenzinfo@loot-shop.de
Manga-Mafia Store Dresden,Japan stores,Dresden,Germany,https://manga-mafia.de,,+49 351 48452444,@mangamafiastore,Specializes in Japanese pop culture and merchandise; the sushi theme of Omakase is a perfect thematic fit for their customer base.,,shopnospamplease@nospampleasemanga-mafia.de
